year	abbr	total	democrat	republican
1992	CT	1616156	682318	578313
1992	DE	289620	126054	102313
1992	DC	227572	192619	20698
1992	FL	5313392	2071698	2173310
1992	GA	2321133	1008966	995252
1992	HI	372842	179310	136822
1992	ID	482114	137013	202645
1992	IL	5050157	2453350	1734096
1992	IN	2305871	848420	989375
1992	IA	1354607	586353	504891
1992	KS	1157236	390434	449951
1992	KY	1492900	665104	617178
1992	LA	1790017	815971	733386
1992	ME	679499	263420	206504
1992	MD	1984580	988571	707094
1992	MA	2773664	1318639	805039
1992	MI	4274673	1871182	1554940
1992	MN	2347948	1020997	747841
1992	MS	981793	400258	487793
1992	MO	2391270	1053873	811159
1992	MT	410583	154507	144207
1992	NE	737546	216864	343678
1992	NV	506318	189148	175828
1992	NH	537215	209040	202484
1992	NJ	3343594	1436206	1356865
1992	NM	569986	261617	212824
1992	NY	7079432	3346894	2041690
1992	NC	2611850	1114042	1134661
1992	ND	308133	99168	136244
1992	OH	4939967	1984942	1894310
1992	OK	1390359	473066	592929
1992	OR	1462643	621314	475757
1992	PA	4959810	2239164	1791841
1992	RI	453365	213299	131601
1992	SC	1228912	525514	577507
1992	SD	336254	124888	136718
1992	TN	1982638	933521	841300
1992	TX	6154018	2281815	2496071
1992	UT	743998	183429	322632
1992	VT	289701	133592	88122
1992	VA	2559129	1038650	1150517
1992	WA	2287565	993037	731234
1992	WV	683677	331001	241974
1992	WI	2531064	1041066	930855
1992	WY	199884	68160	79347
1996	AL	1534349	662165	769044
1996	AK	241620	80380	122746
1996	AZ	1404405	653288	622073
1996	AR	884262	475171	325416
1996	CA	10019469	5119835	3828381
1996	CO	1510702	671152	691848
1996	CT	1392614	735740	483109
1996	DE	270810	140355	99062
1996	DC	185726	158220	17339
1996	FL	5303154	2546870	2244536
1996	GA	2298899	1053849	1080843
1996	HI	360120	205012	113943
1996	ID	491711	165443	256595
1996	IL	4311391	2341744	1587021
1996	IN	2135431	887424	1006693
1996	IA	1234075	620258	492644
1996	KS	1074300	387659	583245
1996	KY	1388708	636614	623283
1996	LA	1783959	927837	712586
1996	ME	605897	312788	186378
1996	MD	1780870	966207	681530
1996	MA	2556459	1571509	718058
1996	MI	3848844	1989653	1481212
1996	MN	2192492	1120380	766395
1996	MS	893857	394022	439838
1996	MO	2158065	1025935	890016
1996	MT	407083	167922	179652
1996	NE	677415	236761	363467
1996	NV	464279	203974	199244
1996	NH	496597	246166	196486
1996	NJ	3075860	1652361	1103099
1996	NM	556074	273495	232751
1996	NY	6439129	3649630	1738707
1996	NC	2515807	1107849	1225938
1996	ND	266411	106905	125050
1996	OH	4534434	2148222	1859883
1996	OK	1206713	488105	582315
1996	OR	1377760	649641	538152
1996	PA	4501307	2215819	1801169
1996	RI	390247	233050	104683
1996	SC	1150182	506152	573339
1996	SD	323826	139333	150543
1996	TN	1894105	909146	863530
1996	TX	5611644	2459683	2736167
1996	UT	665629	221633	361911
1996	VT	258449	137894	80352
1996	VA	2416642	1091060	1138350
1996	WA	2253837	1123323	840712
1996	WV	636459	327812	233946
1996	WI	2196169	1071971	845029
1996	WY	211571	77934	105388
2000	AL	1666272	692611	941173
2000	AK	285560	79004	167398
2000	AZ	1532016	685341	781652
2000	AR	921781	422768	472940
2000	CA	10965822	5861203	4567429
2000	CO	1741368	738227	883748
2000	CT	1459525	816015	561094
2000	DE	327529	180068	137288
2000	DC	201894	171923	18073
2000	FL	5963110	2912253	2912790
2000	GA	2583208	1116230	1419720
2000	HI	367951	205286	137845
2000	ID	501615	138637	336937
2000	IL	4742108	2589026	2019421
2000	IN	2199302	901980	1245836
2000	IA	1353022	638517	634373
2000	KS	1072216	399276	622332
2000	KY	1544106	638923	872520
2000	LA	1765656	792344	927871
2000	ME	651817	319951	286616
2000	MD	2025212	1144008	813827
2000	MA	2733964	1616487	878502
2000	MI	4232501	2170418	1953139
